log file2025-04-18 10:01:48,331 - my_log - INFO - 连接Appium server成功
2025-04-18 10:01:48,332 - my_log - INFO - 准备工作……
2025-04-18 10:01:50,332 - my_log - INFO - 点击推荐按钮完成
2025-04-18 10:01:51,473 - my_log - INFO - 点击个人主页按钮完成
2025-04-18 10:01:53,363 - my_log - INFO - 点击推荐按钮完成
2025-04-18 10:01:55,426 - my_log - INFO - 点击不喜欢按钮完成
2025-04-18 10:01:55,426 - my_log - INFO - 准备工作完成
2025-04-18 10:01:55,426 - my_log - INFO - **********第1个推荐**********
2025-04-18 10:01:55,426 - my_log - INFO - 当前喜欢数量: 0, 当前不喜欢数量: 0
2025-04-18 10:01:58,018 - my_log - INFO - 用户昵称: 贝贝
2025-04-18 10:02:10,908 - my_log - INFO - 基本资料：['基本资料', '163cm', '吉林财经大学 · 本科', '普拉提老师', '年薪10-20万', '家乡广东深圳', '现居地深圳']
2025-04-18 10:02:10,910 - my_log - INFO - ================================
2025-04-18 10:02:10,910 - my_log - INFO - 昵称: 贝贝
2025-04-18 10:02:10,911 - my_log - INFO - 年龄: 29岁
2025-04-18 10:02:10,911 - my_log - INFO - 身高: 163cm
2025-04-18 10:02:10,911 - my_log - INFO - 星座: NULL
2025-04-18 10:02:10,911 - my_log - INFO - 学历: 吉林财经大学 · 本科
2025-04-18 10:02:10,911 - my_log - INFO - 工作信息: 普拉提老师
2025-04-18 10:02:10,912 - my_log - INFO - 薪资: 年薪10-20万
2025-04-18 10:02:10,912 - my_log - INFO - 家乡: 广东深圳
2025-04-18 10:02:10,912 - my_log - INFO - 现居地: 深圳
2025-04-18 10:02:10,912 - my_log - INFO - 个人简介: 广东客家人163cm45kg可盐可甜黏人又独立，爱好广泛户外运动健身看电影旅游看书学习，等等
2025-04-18 10:02:10,912 - my_log - INFO - ================================
2025-04-18 10:02:10,912 - my_log - INFO - 判断是否喜欢
2025-04-18 10:02:10,914 - my_log - INFO - ❤❤❤符合要求，喜欢❤❤❤
2025-04-18 10:02:12,852 - my_log - INFO - 点击喜欢按钮完成
2025-04-18 10:02:13,425 - my_log - INFO - ##########第1个推荐结束##########
2025-04-18 10:02:13,426 - my_log - INFO - **********第2个推荐**********
2025-04-18 10:02:13,426 - my_log - INFO - 当前喜欢数量: 1, 当前不喜欢数量: 0
2025-04-18 10:02:17,966 - my_log - INFO - 用户昵称: 珊珊
2025-04-18 10:02:30,272 - my_log - INFO - 基本资料：['基本资料', '160cm', '巨蟹座', '广东外语外贸大学 · 本科', '服务业 · 市场总监', '年薪10-20万 · 已购车', '家乡广东佛山', '现居地佛山']
2025-04-18 10:02:30,273 - my_log - INFO - ================================
2025-04-18 10:02:30,273 - my_log - INFO - 昵称: 珊珊
2025-04-18 10:02:30,273 - my_log - INFO - 年龄: 28岁
2025-04-18 10:02:30,273 - my_log - INFO - 身高: 160cm
2025-04-18 10:02:30,273 - my_log - INFO - 星座: 巨蟹座
2025-04-18 10:02:30,273 - my_log - INFO - 学历: 广东外语外贸大学 · 本科
2025-04-18 10:02:30,274 - my_log - INFO - 工作信息: 服务业 · 市场总监
2025-04-18 10:02:30,274 - my_log - INFO - 薪资: 年薪10-20万 · 已购车
2025-04-18 10:02:30,274 - my_log - INFO - 家乡: 广东佛山
2025-04-18 10:02:30,274 - my_log - INFO - 现居地: 佛山
2025-04-18 10:02:30,274 - my_log - INFO - 个人简介: 典型巨蟹座 平时正常上下班  比较喜欢看书研究经济学  管理学之类的  喜欢小宠物  所以有养两只猫  对开朗阳光  有爱心有责任感的男孩子比较有好感
2025-04-18 10:02:30,274 - my_log - INFO - ================================
2025-04-18 10:02:30,274 - my_log - INFO - 判断是否喜欢
2025-04-18 10:02:30,274 - my_log - INFO - 工作信息不符合要求: 服务业 · 市场总监
2025-04-18 10:02:30,274 - my_log - INFO - 🤡🤡🤡不符合要求，不喜欢🤡🤡🤡
2025-04-18 10:02:32,616 - my_log - INFO - 点击不喜欢按钮完成
2025-04-18 10:02:33,188 - my_log - INFO - ##########第2个推荐结束##########
2025-04-18 10:02:33,188 - my_log - INFO - **********第3个推荐**********
2025-04-18 10:02:33,188 - my_log - INFO - 当前喜欢数量: 1, 当前不喜欢数量: 1
2025-04-18 10:02:34,902 - my_log - INFO - 用户昵称: A妤馨
2025-04-18 10:02:53,837 - my_log - INFO - 基本资料：['基本资料', '162cm', '巨蟹座', '桂林理工大学 · 本科', '建筑业 · 助理', '年薪10-20万 · 已购车', '家乡广东佛山', '现居地佛山']
2025-04-18 10:02:53,838 - my_log - INFO - ================================
2025-04-18 10:02:53,838 - my_log - INFO - 昵称: A妤馨
2025-04-18 10:02:53,838 - my_log - INFO - 年龄: 26岁
2025-04-18 10:02:53,838 - my_log - INFO - 身高: 162cm
2025-04-18 10:02:53,838 - my_log - INFO - 星座: 巨蟹座
2025-04-18 10:02:53,839 - my_log - INFO - 学历: 桂林理工大学 · 本科
2025-04-18 10:02:53,839 - my_log - INFO - 工作信息: 建筑业 · 助理
2025-04-18 10:02:53,839 - my_log - INFO - 薪资: 年薪10-20万 · 已购车
2025-04-18 10:02:53,839 - my_log - INFO - 家乡: 广东佛山
2025-04-18 10:02:53,839 - my_log - INFO - 现居地: 佛山
2025-04-18 10:02:53,840 - my_log - INFO - 个人简介: 待人真诚，会沟通，遇事冷静沉着，三观正。注重仪式感！
2025-04-18 10:02:53,840 - my_log - INFO - ================================
2025-04-18 10:02:53,840 - my_log - INFO - 判断是否喜欢
2025-04-18 10:02:53,840 - my_log - INFO - ❤❤❤符合要求，喜欢❤❤❤
2025-04-18 10:02:55,214 - my_log - INFO - 点击喜欢按钮完成
2025-04-18 10:02:55,834 - my_log - INFO - ##########第3个推荐结束##########
2025-04-18 10:02:55,834 - my_log - INFO - **********第4个推荐**********
2025-04-18 10:02:55,834 - my_log - INFO - 当前喜欢数量: 2, 当前不喜欢数量: 1
2025-04-18 10:02:57,246 - my_log - INFO - 用户昵称: 林夕
2025-04-18 10:03:08,987 - my_log - INFO - 基本资料：['基本资料', '162cm', '天秤座', '广州商学院 · 本科', '律师 · 律师', '年薪10-20万', '家乡广东梅州', '现居地佛山']
2025-04-18 10:03:08,988 - my_log - INFO - ================================
2025-04-18 10:03:08,988 - my_log - INFO - 昵称: 林夕
2025-04-18 10:03:08,988 - my_log - INFO - 年龄: 27岁
2025-04-18 10:03:08,988 - my_log - INFO - 身高: 162cm
2025-04-18 10:03:08,989 - my_log - INFO - 星座: 天秤座
2025-04-18 10:03:08,989 - my_log - INFO - 学历: 广州商学院 · 本科
2025-04-18 10:03:08,989 - my_log - INFO - 工作信息: 律师 · 律师
2025-04-18 10:03:08,989 - my_log - INFO - 薪资: 年薪10-20万
2025-04-18 10:03:08,989 - my_log - INFO - 家乡: 广东梅州
2025-04-18 10:03:08,990 - my_log - INFO - 现居地: 佛山
2025-04-18 10:03:08,990 - my_log - INFO - 个人简介: 我是一个开朗活泼爱笑的人，希望可以给别人带来快乐和温暖。但偶尔也会有多愁善感的时候。
2025-04-18 10:03:08,990 - my_log - INFO - ================================
2025-04-18 10:03:08,990 - my_log - INFO - 判断是否喜欢
2025-04-18 10:03:08,990 - my_log - INFO - ❤❤❤符合要求，喜欢❤❤❤
2025-04-18 10:03:10,612 - my_log - INFO - 点击喜欢按钮完成
2025-04-18 10:03:11,192 - my_log - INFO - ##########第4个推荐结束##########
2025-04-18 10:03:11,192 - my_log - INFO - **********第5个推荐**********
2025-04-18 10:03:11,193 - my_log - INFO - 当前喜欢数量: 3, 当前不喜欢数量: 1
2025-04-18 10:03:17,003 - my_log - INFO - 用户昵称: ss
2025-04-18 10:03:28,985 - my_log - INFO - 基本资料：['基本资料', '158cm', '中山大学新华学院 · 本科', '老师', '年薪10-20万 · 已购车', '家乡广东韶关', '现居地佛山']
2025-04-18 10:03:28,985 - my_log - INFO - ================================
2025-04-18 10:03:28,985 - my_log - INFO - 昵称: ss
2025-04-18 10:03:28,986 - my_log - INFO - 年龄: 28岁
2025-04-18 10:03:28,986 - my_log - INFO - 身高: 158cm
2025-04-18 10:03:28,986 - my_log - INFO - 星座: NULL
2025-04-18 10:03:28,986 - my_log - INFO - 学历: 中山大学新华学院 · 本科
2025-04-18 10:03:28,986 - my_log - INFO - 工作信息: 老师
2025-04-18 10:03:28,986 - my_log - INFO - 薪资: 年薪10-20万 · 已购车
2025-04-18 10:03:28,987 - my_log - INFO - 家乡: 广东韶关
2025-04-18 10:03:28,987 - my_log - INFO - 现居地: 佛山
2025-04-18 10:03:28,987 - my_log - INFO - 个人简介: 性格开朗活泼，喜欢旅游旅游，追追剧。在佛山南海区九江工作。
2025-04-18 10:03:28,987 - my_log - INFO - ================================
2025-04-18 10:03:28,987 - my_log - INFO - 判断是否喜欢
2025-04-18 10:03:28,987 - my_log - INFO - 个人简介不符合要求: 性格开朗活泼，喜欢旅游旅游，追追剧。在佛山南海区九江工作。
2025-04-18 10:03:28,988 - my_log - INFO - 🤡🤡🤡不符合要求，不喜欢🤡🤡🤡
2025-04-18 10:03:30,863 - my_log - INFO - 点击不喜欢按钮完成
2025-04-18 10:03:31,997 - my_log - INFO - ##########第5个推荐结束##########
2025-04-18 10:03:31,997 - my_log - INFO - **********第6个推荐**********
2025-04-18 10:03:31,997 - my_log - INFO - 当前喜欢数量: 3, 当前不喜欢数量: 2
2025-04-18 10:03:34,041 - my_log - INFO - 用户昵称: Rachel
2025-04-18 10:03:51,137 - my_log - INFO - 基本资料：['基本资料', '167cm', '双鱼座', '广东药科大学 · 本科', '医药代表', '年薪20-30万', '家乡江苏徐州', '现居地深圳', '基本资料', '165cm', '天秤座']
2025-04-18 10:03:51,138 - my_log - INFO - ================================
2025-04-18 10:03:51,138 - my_log - INFO - 昵称: Rachel
2025-04-18 10:03:51,138 - my_log - INFO - 年龄: 24岁
2025-04-18 10:03:51,138 - my_log - INFO - 身高: 167cm
2025-04-18 10:03:51,138 - my_log - INFO - 星座: 双鱼座
2025-04-18 10:03:51,139 - my_log - INFO - 学历: 广东药科大学 · 本科
2025-04-18 10:03:51,139 - my_log - INFO - 工作信息: 医药代表
2025-04-18 10:03:51,139 - my_log - INFO - 薪资: 年薪20-30万
2025-04-18 10:03:51,139 - my_log - INFO - 家乡: 江苏徐州
2025-04-18 10:03:51,139 - my_log - INFO - 现居地: 深圳
2025-04-18 10:03:51,139 - my_log - INFO - 个人简介: ENFJ 双鱼座乐观善良 身心洁癖
2025-04-18 10:03:51,140 - my_log - INFO - ================================
2025-04-18 10:03:51,140 - my_log - INFO - 判断是否喜欢
2025-04-18 10:03:51,140 - my_log - INFO - 身高不符合要求: 167cm
2025-04-18 10:03:51,140 - my_log - INFO - 🤡🤡🤡不符合要求，不喜欢🤡🤡🤡
2025-04-18 10:03:52,824 - my_log - INFO - 点击不喜欢按钮完成
2025-04-18 10:03:53,452 - my_log - INFO - ##########第6个推荐结束##########
2025-04-18 10:03:53,452 - my_log - INFO - **********第7个推荐**********
2025-04-18 10:03:53,452 - my_log - INFO - 当前喜欢数量: 3, 当前不喜欢数量: 3
2025-04-18 10:03:55,183 - my_log - INFO - 用户昵称: 关雨情
2025-04-18 10:04:09,225 - my_log - INFO - 基本资料：['基本资料', '168cm', '巨蟹座', '南京传媒学院 · 大专', '教育 · 咨询主管', '年薪10-20万 · 已购车', '家乡广东佛山', '现居地佛山', '基本资料', '165cm', '天秤座']
2025-04-18 10:04:09,226 - my_log - INFO - ================================
